character,nationality
Shlykov,Russia
Lyosha,Russia
Jack White,USA
Jimmy Page,UK
Joe Perry,USA
Richard Harmon,USA
Barbara,USA
Nelson Downes,USA
Nancy,USA
Narrator (Carlos Muñoz),Colombia
Eddie Macon,USA
Marzack,USA
Yates Martin,USA
Sarah Martin,USA
Lily Owens,USA
Ulysses S. Grant,USA
President,USA
Susan Alves,Mauritius
Joe Alves,Mauritius
Pia,Mauritius
Vic,Mauritius
Carol,Mauritius
Aditya,Mauritius
Klara,Sweden
Greger Krona,Sweden
Frank,unknown
Paulina,Germany
Stanislaus,Poland
Town Official,Germany
Saraswati,India
Kumud,India
Kabir Malhotra,India
Sia,UK
Disha,India
Inspector Asif Sheikh,UK
Villagers,India
Government Officials,India
Abdur Rehman Khan,Afghanistan
Mini,India
Mini's Father,India
Branch Rickey,USA
Jackie Robinson,USA
Satchel Paige,USA
Josh Gibson,USA
Traxx,USA
Aldo Palucci,USA
Guzik Brothers,USA
Katniss Everdeen,District 12
Peeta Mellark,District 12
Haymitch Abernathy,District 12
Rue,District 11
Cato,District 2
Thresh,District 11
George Mainwaring,UK
Arthur Wilson,UK
Jack Jones,UK
Joe Walker,UK
Thangalakshmi,Thailand
Sundar C,India
Mani,India
Kathir,India
Abhi,India
Karakattakari Namitha,India
Tsunami Shijo,Japan
Mr. Takaiya,Japan
Woman,Japan
Demon leader,Unknown
Joe,USA
Hubbs,USA
Tack,USA
Jill,USA
Lanie,USA
"Norm ""Snot-rag"" Hankey",USA
Muldoon,USA
Warren,USA
Dad Hayseed,Australia
Mum,Australia
Sam,Australia
Jim,Australia
Poppy,Australia
Molly,Australia
Bubs,Australia
Peter,Australia
Cousin Harold,Australia
Norah,Australia
Student,USA
Gemini,India
Teja,India
Manisha,India
DGP Singaperumal,India
Mona Lott,France
Patrick Hayashi,USA
Alex Popov,USA
Barry Bonds,USA
Jo Dae-yeong,South Korea
Baek Jang-mi,South Korea
Jonathan Green,Western Europe
Villagers,Transylvania
Rae,USA
Walter,USA
12-year-old boy,unknown
Grandmother,unknown
Mysterious Owner,unknown
Detective Harry Grant,unknown
Induchoodan,India
Justice Maranchery Karunakara Menon,India
Manapally Madhavan Nambiar,India
DYSP Sankaranarayanan,India
Manapally Sudheeran,India
Ramakrishnan,India
Anuradha,India
Manapally Pavithran,India
Indulekha,India
Jayakrishnan,India
Chandrabhanu,India
Raman Nair,India
Nandagopal Maarar,India
U.S. Army,USA
Indians,USA
Surveyors,USA
John,unknown
Ivor,invisible
Andrew Largeman,USA
Sam,USA
Jesse,USA
Mark,USA
Dave,USA
Albert,USA
Ravi,unknown
Kani,unknown
Amudha,unknown
Julio,Spain
Paulina,Spain
Paulina's Lover,Spain
Eva Nygaard,Denmark
Doctor Erik Halsøe,Denmark
Jens,Denmark
Pavia,Greenland
Naja,Greenland
Nicholas Whistler,UK
Colonel Cunliffe,UK
Vlasta,Czech Republic
Mark Thackeray,British Guiana / England
Mr. Weston,England
Gillian Blanchard,USA
Deputy Head Evans,England
Clinty Clintridge,England
Headmaster Florian,England
Bert Denham,England
Pamela Dare,England
Mr. Bell,England
Potter,England
Seales,England
Barbara Pegg,England
Miss Wong,England
Lulu,England
Wendy,Chinese
Lee Khan,Chinese
Wan’er,Chinese
Michael Chamberlain,Australia
Lindy Chamberlain,Australia
Daffy,unknown
Wentworth,unknown
Oversized Lady Duck,unknown
Lily,England
Bert,England
FCC Investigators,USA
Bill Compton,USA
Joan Compton,USA
Melissa Compton,USA
Joe Curran,USA
Professor Mamlock,German
Rolf,German
Bob,Mainframe
Dot,Mainframe
Ray Tracer,Mainframe
Phong,Mainframe
Mouse,Mainframe
Megabyte,Virus
Sergeant Jack Stryker,USA
Sally,USA
Charles Manson-like cult leader,unknown
Sam Raimi (portraying cult leader),USA
Shankar Pehalvan,India
Bade Mia,India
Basha,India
Munna,India
Thomas Avery,USA
Joost,Netherlands
Sarah,Canada
Jack,Ireland
Father Frank,USA
Babba,India
Minni,India
Pappan,India
Officer Yeo Kyung-jin,South Korea
Go Myung-woo,South Korea
Cha Tae-Hyun's character,South Korea
Joe Leland,USA
Felix Tesla,USA
Karen Leland,USA
Norma McIver,USA
Cloe,unknown
Yasmin,unknown
Sasha,unknown
Jade,unknown
Cameron,unknown
Dylan,unknown
Blade,Unknown
Dr. Karen Jenson,USA
Quinn,Unknown
Abraham Whistler,USA
Deacon Frost,Unknown
Dragonetti,Unknown
Richard Herald,Unknown
Dick Johnson,Unknown
Frances Allenbury,Unknown
Leonora Cambaretti,Unknown
Ferdi Farro,Unknown
Xavier Cugat,Unknown
Harriet,Unknown
Deborah,Unknown
Gordon,Unknown
Baron Nikita Krasnoff,Russia
Tanyusha,Russia
Vera Zimina,Russia
Mr. Murphy,Unknown
Marjorie,Unknown
Edward Malone,Canadian
Professor Challenger,British
Professor Summerlee,British
Jenny Nielson,American
Jim,unknown
Malu,unknown
Pujo,unknown
