nationality,most common name,second most common name,third most common name,most common name count,second most common name count,third most common name count
Afghanistan,Abdul Rashid Dostum,Abdur Rehman Khan,Afghan camel driver,1,1,1
Albania,Abedin Nexhepi,Agnes,Albanian Student,1,1,1
Algeria,Ali,Karim,Abdelkader,3,2,1
Angola,Angolan Soldier,Angolan Village Discovery,DJ Buda,1,1,1
Antarctica,Bing Crosby-like penguin,Boy Penguins,Cowboy,1,1,1
Argentina,Elena,Laura,Lucas,5,5,5
Armenia,Aram,Allegra,Apro,2,1,1
Australia,Jack,Jim,Joe,5,5,5
Austria,Sigmund Freud,Marie Antoinette,Adolf Hitler,6,4,3
Azerbaijan,Asgar,Azerbaijani Militants,Guelchoehra,1,1,1
Bahamas,Aarav,Allan Smith Jr.,Gulshan,1,1,1
Bahrain,Bahraini Family,Meriam Al-Khalifa,,1,1,0
Bangladesh,Shakib Khan,Abir,Aftab Chowdhury,2,1,1
Barbados,LaBarbara,,,1,0,0
Belarus,Alaksandar Milinkievič,Franak Viačorka,Lukashenko,1,1,1
Belgian,Chloë,Colonel Derode,Dr. Evil,1,1,1
Belgium,Hercule Poirot,Captain Haddock,Tintin,7,3,3
Benin,Alphonse,Wilson,,1,1,0
Bhutan,Dawa Dema,Deki,Dondup,1,1,1
Bolivia,Alejandro Sosa,Alex,Alfonso,1,1,1
Bosnia and Herzegovina,Milan,Tarik,Admira Ismić,2,2,1
Botswana,Billy,Flower,Holly,1,1,1
Brazil,Bruno,Carlos,Chico,3,3,3
Bulgaria,Aleksander 'Sashko',Asenov,Assistant Architect,1,1,1
Burkina Faso,Bila,Bourémah,Children,1,1,1
Burundi,Childhood Loved One,Désiré,Gito,1,1,1
Cambodia,Kim,Maly,Aajaan Panor,2,2,1
Cameroon,Badiaga,Benoit,Catherine Ngwang,1,1,1
Canada,Sarah,Anne Shirley,Louise,6,4,4
Cayman Islands,Andrea,Fritz,Hammer,1,1,1
Chad,Abdel,Adam,Haroun,1,1,1
Chile,Salvador Allende,Augusto Pinochet,Alejandro,5,3,2
China,Wong Fei-hung,Ling,Li,8,7,6
Colombia,Pablo Escobar,Antonio,Emilio,3,2,2
Comoros,Djibril,,,1,0,0
Congo,Joseph Mobutu,Amy,Apollinaire,2,1,1
